Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
544,IGL,INE203G01027,5x,5x,5x
545,TVTODAY,INE038F01029,5x,5x,5x
546,PETRONET,INE347G01014,5x,5x,5x
547,BIOCON,INE376G01013,5x,5x,5x
548,PTC,INE877F01012,5x,5x,5x
549,MAHABANK,INE457A01014,5x,5x,5x
550,RKFORGE,INE399G01023,5x,5x,5x
551,DATAMATICS,INE365B01017,5x,5x,5x
552,NDTV,INE155G01029,5x,5x,5x
553,STAR,INE939A01011,5x,5x,5x
554,ULTRACEMCO,INE481G01011,5x,5x,5x
555,UNOMINDA,INE405E01023,5x,5x,5x
556,TCS,INE467B01029,5x,5x,5x
557,COFORGE,INE591G01017,5x,5x,5x
558,CENTURYPLY,INE348B01021,5x,5x,5x
559,WELENT,INE625G01013,5x,5x,5x
560,NTPC,INE733E01010,5x,5x,5x
561,DWARKESH,INE366A01041,5x,5x,5x
562,INDOCO,INE873D01024,5x,5x,5x
563,XCHANGING,INE692G01013,5x,5x,5x
564,3IINFOLTD,INE748C01038,5x,5x,5x
565,GOKEX,INE887G01027,5x,5x,5x
566,ALLDIGI,INE835G01018,5x,5x,5x
567,SHOPERSTOP,INE498B01024,5x,5x,5x
568,JSWHL,INE824G01012,5x,5x,5x
569,JKCEMENT,INE823G01014,5x,5x,5x
570,YESBANK,INE528G01035,5x,5x,5x
571,NECLIFE,INE023H01027,5x,5x,5x
572,KTKBANK,INE614B01018,5x,5x,5x
573,IDFC,INE043D01016,5x,5x,5x
574,RML,INE050H01012,5x,5x,5x
575,HTMEDIA,INE501G01024,5x,5x,5x
576,RENUKA,INE087H01022,5x,5x,5x
577,AIAENG,INE212H01026,5x,5x,5x
578,EKC,INE184H01027,5x,5x,5x
579,REPRO,INE461B01014,5x,5x,5x
580,PVRINOX,INE191H01014,5x,5x,5x
581,NITINSPIN,INE229H01012,5x,5x,5x
582,ROHLTD,INE283H01019,5x,5x,5x
583,ENIL,INE265F01028,5x,5x,5x
584,GSPL,INE246F01010,5x,5x,5x
585,JAGRAN,INE199G01027,5x,5x,5x
586,KEC,INE389H01022,5x,5x,5x
587,GILLANDERS,INE047B01011,5x,5x,5x
588,M&MFIN,INE774D01024,5x,5x,5x
589,SOLARINDS,INE343H01029,5x,5x,5x
590,UTTAMSUGAR,INE786F01031,5x,5x,5x
591,KKCL,INE401H01017,5x,5x,5x
592,SUNTV,INE424H01027,5x,5x,5x
593,GPIL,INE177H01039,5x,5x,5x
594,RSYSTEMS,INE411H01032,5x,5x,5x
595,ALLCARGO,INE418H01029,5x,5x,5x
596,GMRINFRA,INE776C01039,5x,5x,5x
597,TECHM,INE669C01036,5x,5x,5x
598,CIEINDIA,INE536H01010,5x,5x,5x
599,ACE,INE731H01025,5x,5x,5x
600,GEECEE,INE916G01016,5x,5x,5x
601,FIEMIND,INE737H01014,5x,5x,5x
602,DCBBANK,INE503A01015,5x,5x,5x
603,NAUKRI,INE663F01024,5x,5x,5x
604,TORNTPOWER,INE813H01021,5x,5x,5x
605,SUTLEJTEX,INE645H01027,5x,5x,5x
606,LTFOODS,INE818H01020,5x,5x,5x
607,TANLA,INE483C01032,5x,5x,5x
608,ZEEMEDIA,INE966H01019,5x,5x,5x
609,LUMAXTECH,INE872H01027,5x,5x,5x
610,AUTOIND,INE718H01014,5x,5x,5x
611,NETWORK18,INE870H01013,5x,5x,5x
612,TIIL,INE545H01011,5x,5x,5x
613,REDINGTON,INE891D01026,5x,5x,5x
614,PGIL,INE940H01022,5x,5x,5x
615,FSL,INE684F01012,5x,5x,5x
616,PFC,INE134E01011,5x,5x,5x
617,AHLUCONT,INE758C01029,5x,5x,5x
618,INDIANB,INE562A01011,5x,5x,5x
619,IDEA,INE669E01016,5x,5x,5x
620,PAGEIND,INE761H01022,5x,5x,5x
621,ASTRAL,INE006I01046,5x,5x,5x
622,EMBDL,INE069I01010,5x,5x,5x
623,CAMLINFINE,INE052I01032,5x,5x,5x
624,ICRA,INE725G01011,5x,5x,5x
625,DISHTV,INE836F01026,5x,5x,5x
626,SRHHYPOLTD,INE917H01012,5x,5x,5x
627,FORTIS,INE061F01013,5x,5x,5x
628,INSECTICID,INE070I01018,5x,5x,5x
629,HGS,INE170I01016,5x,5x,5x
630,NELCAST,INE189I01024,5x,5x,5x
631,DLF,INE271C01023,5x,5x,5x
632,SPARC,INE232I01014,5x,5x,5x
633,ALPA,INE385I01010,5x,5x,5x
634,CENTRALBK,INE483A01010,5x,5x,5x
635,ASIANTILES,INE022I01019,5x,5x,5x
636,KPRMILL,INE930H01031,5x,5x,5x
637,MOTILALOFS,INE338I01027,5x,5x,5x
638,POWERGRID,INE752E01010,5x,5x,5x
639,KSCL,INE455I01029,5x,5x,5x
640,RELIGARE,INE621H01010,5x,5x,5x
641,ADANIPORTS,INE742F01042,2x,2x,2x
642,EDELWEISS,INE532F01054,5x,5x,5x
643,RGL,INE722H01024,5x,5x,5x
644,KOLTEPATIL,INE094I01018,5x,5x,5x
645,JYOTHYLAB,INE668F01031,5x,5x,5x
646,ECLERX,INE738I01010,5x,5x,5x
647,BRIGADE,INE791I01019,5x,5x,5x
648,MANAKSIA,INE015D01022,5x,5x,5x
649,ARIES,INE298I01015,5x,5x,5x
650,KUANTUM,INE529I01021,5x,5x,5x
651,RPOWER,INE614G01033,5x,5x,5x
652,JKIL,INE576I01022,5x,5x,5x
653,KNRCON,INE634I01029,5x,5x,5x
654,ONMOBILE,INE809I01019,5x,5x,5x
655,SEPC,INE964H01014,5x,5x,5x
656,VGUARD,INE951I01027,5x,5x,5x
657,RECLTD,INE020B01018,5x,5x,5x
658,TITAGARH,INE615H01020,5x,5x,5x
659,KIRIINDUS,INE415I01015,5x,5x,5x
660,BAJAJ-AUTO,INE917I01010,5x,5x,5x
661,BAJAJFINSV,INE918I01026,5x,5x,5x
662,RPGLIFE,INE105J01010,5x,5x,5x
663,RBL,INE244J01017,5x,5x,5x
664,20MICRONS,INE144J01027,5x,5x,5x
665,ZFCVINDIA,INE342J01019,5x,5x,5x
666,ISGEC,INE858B01029,5x,5x,5x
667,IMFA,INE919H01018,5x,5x,5x
668,MOLDTKPAC,INE893J01029,5x,5x,5x
669,MHRIL,INE998I01010,5x,5x,5x
670,NHPC,INE848E01016,5x,5x,5x
671,GLOBUSSPR,INE615I01010,5x,5x,5x
672,OIL,INE274J01014,5x,5x,5x
673,EXPLEOSOL,INE201K01015,5x,5x,5x
674,DEN,INE947J01015,5x,5x,5x
675,ASTEC,INE563J01010,5x,5x,5x
676,DLINKINDIA,INE250K01012,5x,5x,5x
677,JSWENERGY,INE121E01018,5x,5x,5x
678,GODREJPROP,INE484J01027,5x,5x,5x
679,JUBLFOOD,INE797F01020,5x,5x,5x
680,VASCONEQ,INE893I01013,5x,5x,5x
681,HATHWAY,INE982F01036,5x,5x,5x
682,ROSSELLIND,INE847C01020,5x,5x,5x
683,MANINFRA,INE949H01023,5x,5x,5x
684,IVZINGOLD,INF205K01361,5x,5x,5x
685,PERSISTENT,INE262H01021,5x,5x,5x
686,KECL,INE134B01017,5x,5x,5x
687,SJVN,INE002L01015,5x,5x,5x
688,EMAMIPAP,INE830C01026,5x,5x,5x
689,HMVL,INE871K01015,5x,5x,5x
690,BAJAJCON,INE933K01021,5x,5x,5x
691,HDFCGOLD,INF179KC1981,5x,5x,5x
692,GOLDIETF,INF109KC1NT3,5x,5x,5x
693,GPPL,INE517F01014,5x,5x,5x
694,SASTASUNDR,INE019J01013,5x,5x,5x
695,WABAG,INE956G01038,5x,5x,5x
696,ASHOKA,INE442H01029,5x,5x,5x
697,JWL,INE209L01016,5x,5x,5x
698,OBEROIRLTY,INE093I01010,5x,5x,5x
699,PRESTIGE,INE811K01011,5x,5x,5x
700,COALINDIA,INE522F01014,5x,5x,5x
701,GRAVITA,INE024L01027,5x,5x,5x
702,MOIL,INE490G01020,5x,5x,5x
703,BFINVEST,INE878K01010,5x,5x,5x
704,SUMMITSEC,INE519C01017,5x,5x,5x
705,INDTERRAIN,INE611L01021,5x,5x,5x
706,FCL,INE045J01026,5x,5x,5x
707,MON100,INF247L01AP3,5x,5x,5x
708,MUTHOOTFIN,INE414G01012,5x,5x,5x
709,BSLGOLDETF,INF209KB18D3,5x,5x,5x
710,RUSHIL,INE573K01025,5x,5x,5x
711,LTF,INE498L01015,5x,5x,5x
712,RUPA,INE895B01021,5x,5x,5x
713,TDPOWERSYS,INE419M01027,5x,5x,5x
714,AXISGOLD,INF846K01W80,5x,5x,5x
715,APLLTD,INE901L01018,5x,5x,5x
716,PGEL,INE457L01029,5x,5x,5x
717,TRITURBINE,INE152M01016,5x,5x,5x
718,LICMFGOLD,INF397L01554,5x,5x,5x
719,APLAPOLLO,INE702C01027,5x,5x,5x
720,RHIM,INE743M01012,5x,5x,5x
721,MCX,INE745G01035,5x,5x,5x
722,SCHNEIDER,INE839M01018,5x,5x,5x
723,HEXATRADEX,INE750M01017,5x,5x,5x
724,TBZ,INE760L01018,5x,5x,5x
725,VSSL,INE050M01012,5x,5x,5x
726,SPECIALITY,INE247M01014,5x,5x,5x
727,RTNINDIA,INE834M01019,5x,5x,5x
728,JTLIND,INE391J01024,5x,5x,5x
729,PROZONER,INE195N01013,5x,5x,5x
730,CIGNITITEC,INE675C01017,5x,5x,5x
731,CARERATING,INE752H01013,5x,5x,5x
732,INDUSTOWER,INE121J01017,5x,5x,5x
733,VMART,INE665J01013,5x,5x,5x
734,REPCOHOME,INE612J01015,5x,5x,5x
735,SREEL,INE099F01013,5x,5x,5x
736,SHARDAMOTR,INE597I01028,5x,5x,5x
737,JUSTDIAL,INE599M01018,5x,5x,5x
738,ORIENTCEM,INE876N01018,5x,5x,5x
739,ABFRL,INE647O01011,5x,5x,5x
740,SAMMAANCAP,INE148I01020,5x,5x,5x
741,MOM100,INF247L01023,5x,5x,5x
742,NIFTYIETF,INF109K012R6,5x,5x,5x
743,NIF100IETF,INF109KC16V9,5x,5x,5x
744,NIF1xBEES,INF5x4K014N5,5x,5x,5x
745,NIFTY1,INF174K014P6,5x,5x,5x
746,RACE,INE084Q01012,5x,5x,5x
747,CPSEETF,INF457M01133,5x,5x,5x
748,SKIPPER,INE439E01022,5x,5x,5x
749,GULFOILLUB,INE635Q01029,5x,5x,5x
750,SNOWMAN,INE734N01019,5x,5x,5x
751,SHARDACROP,INE221J01015,5x,5x,5x
752,INTELLECT,INE306R01017,5x,5x,5x
753,MONTECARLO,INE950M01013,5x,5x,5x
754,GENUSPAPER,INE949P01018,5x,5x,5x
755,MINDACORP,INE842C01021,5x,5x,5x
756,GREENLAM,INE544R01021,5x,5x,5x
757,IMAGICAA,INE172N01012,5x,5x,5x
758,VRLLOG,INE366I01010,5x,5x,5x
759,SHIVALIK,INE788J01021,5x,5x,5x
760,PNCINFRA,INE195J01029,5x,5x,5x
761,SATIA,INE170E01023,5x,5x,5x
762,SPORTKING,INE885H01029,5x,5x,5x
763,ADANIENSOL,INE931S01010,2x,2x,2x
764,SYNGENE,INE398R01022,5x,5x,5x
765,OSWALGREEN,INE143A01010,5x,5x,5x
766,ARVSMART,INE034S01021,5x,5x,5x
767,POWERMECH,INE211R01019,5x,5x,5x
768,RAMASTEEL,INE230R01035,5x,5x,5x
769,UTISENSETF,INF789FB1X58,5x,5x,5x
770,UTINIFTETF,INF789F1AZC0,5x,5x,5x
771,VETO,INE918N01018,5x,5x,5x
772,NAVKARCORP,INE278M01019,5x,5x,5x
773,SHREEPUSHK,INE712K01011,5x,5x,5x
774,GUJGASLTD,INE844O01030,5x,5x,5x
775,MALLCOM,INE389C01015,5x,5x,5x
776,SATIN,INE836B01017,5x,5x,5x
777,IDFCFIRSTB,INE092T01019,5x,5x,5x
778,INDIGO,INE646L01027,5x,5x,5x
779,SHK,INE500L01026,5x,5x,5x
780,LICNETFN50,INF767K01OS7,5x,5x,5x
781,HDFCNIFTY,INF179KC1965,5x,5x,5x
782,HDFCSENSEX,INF179KC1HX2,5x,5x,5x
783,ALKEM,INE540L01014,5x,5x,5x
784,LALPATHLAB,INE600L01024,5x,5x,5x
785,LUXIND,INE150G01020,5x,5x,5x
786,NH,INE410P01011,5x,5x,5x
787,TEAMLEASE,INE985S01024,5x,5x,5x
788,LICNFNHGP,INF767K01PC8,5x,5x,5x
789,HCG,INE075I01017,5x,5x,5x
790,THYROCARE,INE594H01019,5x,5x,5x
791,BAJAJHCARE,INE411U01027,5x,5x,5x
792,CROMPTON,INE299U01018,5x,5x,5x
793,PILANIINVS,INE417C01014,5x,5x,5x
794,NV20IETF,INF109KC11V0,5x,5x,5x
795,MGL,INE002S01010,5x,5x,5x
796,QUESS,INE615P01015,5x,5x,5x
797,MIDSELIETF,INF109KC10W0,5x,5x,5x
798,LTIM,INE214T01019,5x,5x,5x
799,BSLSENETFG,INF209KB10E8,5x,5x,5x
800,ADVENZYMES,INE837H01020,5x,5x,5x
801,DBL,INE917M01012,5x,5x,5x
802,SPAL,INE212I01016,5x,5x,5x
803,BIGBLOC,INE412U01025,5x,5x,5x
804,RBLBANK,INE976G01028,5x,5x,5x
805,BLS,INE153T01027,5x,5x,5x
806,LTTS,INE010V01017,5x,5x,5x
807,GNA,INE934S01014,5x,5x,5x
808,ICICIPRULI,INE726G01019,5x,5x,5x
809,HPL,INE495S01016,5x,5x,5x
810,VALIANTORG,INE565V01010,5x,5x,5x
811,ENDURANCE,INE913H01037,5x,5x,5x
812,PNBHOUSING,INE572E01012,5x,5x,5x
813,VBL,INE200M01039,5x,5x,5x
814,SFL,INE916U01025,5x,5x,5x
815,TCIEXP,INE586V01016,5x,5x,5x
816,LAURUSLABS,INE947Q01028,5x,5x,5x
817,TRU,INE615R01029,5x,5x,5x
818,PRICOLLTD,INE726V01018,5x,5x,5x
819,RADIOCITY,INE919I01024,5x,5x,5x
820,DMART,INE192R01011,5x,5x,5x
821,CLEDUCATE,INE201M01029,5x,5x,5x
822,SHANKARA,INE274V01019,5x,5x,5x
823,SCHAND,INE807K01035,5x,5x,5x
824,HUDCO,INE031A01017,5x,5x,5x
825,PSPPROJECT,INE488V01015,5x,5x,5x
826,STARCEMENT,INE460H01021,5x,5x,5x
827,TEJASNET,INE010J01012,5x,5x,5x
828,ERIS,INE406M01024,5x,5x,5x
829,GTPL,INE869I01013,5x,5x,5x
830,AUBANK,INE949L01017,5x,5x,5x
831,LOWVOLIETF,INF109KC19U5,5x,5x,5x
832,AVADHSUGAR,INE349W01017,5x,5x,5x
833,MAGADSUGAR,INE347W01011,5x,5x,5x
834,UTINEXT50,INF789F1AUW9,5x,5x,5x
835,SIS,INE285J01028,5x,5x,5x
836,COCHINSHIP,INE704P01025,5x,5x,5x
837,KIOCL,INE880L01014,5x,5x,5x
838,ABCAPITAL,INE674K01013,5x,5x,5x
839,APEX,INE346W01013,5x,5x,5x
840,DIXON,INE935N01020,5x,5x,5x
841,DCAL,INE385W01011,5x,5x,5x
842,MATRIMONY,INE866R01028,5x,5x,5x
843,CAPACITE,INE264T01014,5x,5x,5x
844,ICICIGI,INE765G01017,5x,5x,5x
845,SBILIFE,INE123W01016,5x,5x,5x
846,DIAMONDYD,INE393P01035,5x,5x,5x
847,SHAREINDIA,INE932X01026,5x,5x,5x
848,GODREJAGRO,INE850D01014,5x,5x,5x
849,MASFIN,INE348L01012,5x,5x,5x
850,IEX,INE022Q01020,5x,5x,5x
851,GICRE,INE481Y01014,5x,5x,5x
852,TIINDIA,INE974X01010,5x,5x,5x
853,NAM-INDIA,INE298J01013,5x,5x,5x
854,MAHLOG,INE766P01016,5x,5x,5x
855,NIACL,INE470Y01017,5x,5x,5x
856,KHADIM,INE834I01025,5x,5x,5x
857,5PAISA,INE618L01018,5x,5x,5x
858,HDFCLIFE,INE795G01014,5x,5x,5x
859,ICICIB22,INF109KB15Y7,5x,5x,5x
860,SHALBY,INE597J01018,5x,5x,5x
861,AMBER,INE371P01015,5x,5x,5x
862,GALAXYSURF,INE600K01018,5x,5x,5x
863,ASTERDM,INE914M01019,5x,5x,5x
864,HGINFRA,INE926X01010,5x,5x,5x
865,LIQUIDETF,INF740KA1EU7,5x,5x,5x
866,BDL,INE171Z01026,5x,5x,5x
867,BANDHANBNK,INE545U01014,5x,5x,5x
868,HAL,INE066F01020,5x,5x,5x
869,SANDHAR,INE278H01035,5x,5x,5x
870,YASHO,INE616Z01012,5x,5x,5x
871,ISEC,INE763G01038,5x,5x,5x
872,MIDHANI,INE099Z01011,5x,5x,5x
873,LEMONTREE,INE970X01018,5x,5x,5x
874,HARDWYN,INE626Z01029,5x,5x,5x
875,ORIENTELEC,INE142Z01019,5x,5x,5x
876,BSE500IETF,INF109KC1V59,5x,5x,5x
877,ZIMLAB,INE518E01015,5x,5x,5x
878,DOLLAR,INE325C01035,5x,5x,5x
879,ADANIGREEN,INE364U01010,2x,2x,2x
880,RITES,INE320J01015,5x,5x,5x
881,FINEORG,INE686Y01026,5x,5x,5x
882,VARROC,INE665L01035,5x,5x,5x
883,TCNSBRANDS,INE778U01029,5x,5x,5x
884,HDFCAMC,INE127D01025,5x,5x,5x
885,CREDITACC,INE741K01010,5x,5x,5x
886,NEXT50IETF,INF109KC1NS5,5x,5x,5x
887,LIQUIDIETF,INF109KC1KT9,5x,5x,5x
888,IRCON,INE962Y01021,5x,5x,5x
889,AAVAS,INE216P01012,5x,5x,5x
890,ATGL,INE399L01023,5x,5x,5x
891,NIFTYETF,INF769K01EG9,5x,5x,5x
892,DALBHARAT,INE00R701025,5x,5x,5x
893,ABSLNN2xET,INF5x9KB16D7,5x,5x,5x
894,RPSGVENT,INE425Y01011,5x,5x,5x
895,SPENCERS,INE020801028,5x,5x,5x
896,CHALET,INE427F01016,5x,5x,5x
897,ARVINDFASN,INE955V01021,5x,5x,5x
898,UTISXN50,INF789F1AUU3,5x,5x,5x
899,MSTCLTD,INE255X01014,5x,5x,5x
900,RVNL,INE415G01027,5x,5x,5x
901,METROPOLIS,INE112L01020,5x,5x,5x
902,KPITTECH,INE04I401011,5x,5x,5x
903,POLYCAB,INE455K01017,5x,5x,5x
904,VIKASLIFE,INE161L01027,5x,5x,5x
905,NEOGEN,INE136S01016,5x,5x,5x
906,INDIAMART,INE933S01016,5x,5x,5x
907,BANKIETF,INF109KC15I8,5x,5x,5x
908,AFFLE,INE00WC01027,5x,5x,5x
909,PVTBANIETF,INF109KC18U7,5x,5x,5x
910,SPANDANA,INE572J01011,5x,5x,5x
911,360ONE,INE466L01038,5x,5x,5x
912,FLUOROCHEM,INE09N301011,5x,5x,5x
913,IRCTC,INE335Y01020,5x,5x,5x
914,VISHWARAJ,INE430N01022,5x,5x,5x
915,GREENPANEL,INE08ZM01014,5x,5x,5x
916,ABSLBANETF,INF209KB17D5,5x,5x,5x
917,CSBBANK,INE679A01013,5x,5x,5x
918,UJJIVANSFB,INE551W01018,5x,5x,5x
919,HINDWAREAP,INE05AN01011,5x,5x,5x
920,PRINCEPIPE,INE689W01016,5x,5x,5x
921,EBBETF0430,INF754K01KO2,5x,5x,5x
922,ARTEMISMED,INE025R01021,5x,5x,5x
923,SUMICHEM,INE258G01013,5x,5x,5x
924,MIDCAPIETF,INF109KC11W8,5x,5x,5x
925,NEXT50,INF769K01FN2,5x,5x,5x
926,SUVENPHAR,INE03QK01018,5x,5x,5x
927,SBICARD,INE018E01016,5x,5x,5x
928,POWERINDIA,INE07Y701011,5x,5x,5x
929,AARTISURF,INE09EO01013,5x,5x,5x
930,BOROLTD,INE02PY01013,5x,5x,5x
931,ROSSARI,INE02A801020,5x,5x,5x
932,EBBETF0425,INF754K01LD3,5x,5x,5x
933,EBBETF0431,INF754K01LE1,5x,5x,5x
934,SBGLP,INE05ST01028,5x,5x,5x
935,ALPL30IETF,INF109KC17V7,5x,5x,5x
936,MAXHEALTH,INE027H01010,5x,5x,5x
937,ITIETF,INF109KC16I6,5x,5x,5x
938,HDFCNIFBAN,INF179KC1HY0,5x,5x,5x
939,UTIBANKETF,INF789F1AUV1,5x,5x,5x
940,HAPPSTMNDS,INE419U01012,5x,5x,5x
941,ROUTE,INE450U01017,5x,5x,5x
942,CAMS,INE596I01012,5x,5x,5x
943,CHEMCON,INE03YM01018,5x,5x,5x
944,ANGELONE,INE732I01013,5x,5x,5x
945,MAZDOCK,INE249Z01012,5x,5x,5x
946,UTIAMC,INE094J01016,5x,5x,5x
947,LIKHITHA,INE060901027,5x,5x,5x
948,HEMIPROP,INE0AJG01018,5x,5x,5x
949,EQUITASBNK,INE063P01018,5x,5x,5x
950,GLAND,INE068V01023,5x,5x,5x
951,ESG,INF769K01GS9,5x,5x,5x
952,RBA,INE07T201019,5x,5x,5x
953,MOGSEC,INF247L01AK4,5x,5x,5x
954,FAIRCHEMOR,INE0DNW01011,5x,5x,5x
955,BECTORFOOD,INE495P01012,5x,5x,5x
956,AWHCL,INE01BK01022,5x,5x,5x
957,INFRABEES,INF732E01268,5x,5x,5x
958,IRFC,INE053F01010,5x,5x,5x
959,INDIGOPNTS,INE09VQ01012,5x,5x,5x
960,HOMEFIRST,INE481N01025,5x,5x,5x
961,STOVEKRAFT,INE00IN01015,5x,5x,5x
962,RAILTEL,INE0DD101019,5x,5x,5x
963,HERANBA,INE694N01015,5x,5x,5x
964,MTARTECH,INE864I01014,5x,5x,5x
965,JUBLINGREA,INE0BY001018,5x,5x,5x
966,EASEMYTRIP,INE07O001026,5x,5x,5x
967,ANURAS,INE930P01018,5x,5x,5x
968,CRAFTSMAN,INE00LO01017,5x,5x,5x
969,LXCHEM,INE576O01020,5x,5x,5x
970,KALYANKJIL,INE303R01014,5x,5x,5x
971,SURYODAY,INE428Q01011,5x,5x,5x
972,NAZARA,INE418L01021,5x,5x,5x
973,BARBEQUE,INE382M01027,5x,5x,5x
974,LODHA,INE670K01029,5x,5x,5x
975,DEEPINDS,INE0FHS01024,5x,5x,5x
976,MAFANG,INF769K01HF4,5x,5x,5x
977,HEALTHIETF,INF109KC1Q72,5x,5x,5x
978,SHYAMMETL,INE810G01011,5x,5x,5x
979,SONACOMS,INE073K01018,5x,5x,5x
980,DODLA,INE021O01019,5x,5x,5x
981,KIMS,INE967H01025,5x,5x,5x
982,IPL,INE0D6701023,5x,5x,5x
983,GRINFRA,INE201P01022,5x,5x,5x
984,CLEAN,INE227W01023,5x,5x,5x
985,ZOMATO,INE758T01015,5x,5x,5x
986,TATVA,INE0GK401011,5x,5x,5x
987,GLS,INE03Q201024,5x,5x,5x
988,BFSI,INF769K01HI8,5x,5x,5x
989,ROLEXRINGS,INE645S01016,5x,5x,5x
990,FMCGIETF,INF109KC19V3,5x,5x,5x
991,EXXARO,INE0GFE01018,5x,5x,5x
992,KRSNAA,INE08LI01020,5x,5x,5x
993,WINDLAS,INE0H5O01029,5x,5x,5x
994,DEVYANI,INE872J01023,5x,5x,5x
995,MOL,INE0CT101020,5x,5x,5x
996,EPIGRAL,INE071N01016,5x,5x,5x
997,CARTRADE,INE290S01011,5x,5x,5x
998,NUVOCO,INE118D01016,5x,5x,5x
999,APTUS,INE852O01025,5x,5x,5x
1000,CHEMPLASTS,INE488A01050,5x,5x,5x
1001,AXISTECETF,INF846K01Y96,5x,5x,5x
1002,AXISHCETF,INF846K01Z12,5x,5x,5x
1003,AMIORG,INE00FF01017,5x,5x,5x
1004,VIJAYA,INE043W01024,5x,5x,5x
1005,AXISCETF,INF846K016C7,5x,5x,5x
1006,SANSERA,INE953O01021,5x,5x,5x
1007,MASPTOP50,INF769K01HP3,5x,5x,5x
1008,ABSLAMC,INE404A01024,5x,5x,5x
1009,CONSUMIETF,INF109KC1V42,5x,5x,5x
1010,NYKAA,INE388Y01029,5x,5x,5x
1011,FINOPB,INE02NC01014,5x,5x,5x
1012,SJS,INE284S01014,5x,5x,5x
1013,EQUAL50ADD,INF740KA1QK2,5x,5x,5x
1014,POLICYBZR,INE417T01026,5x,5x,5x
1015,SAPPHIRE,INE806T01020,5x,5x,5x
1016,LATENTVIEW,INE0I7C01011,5x,5x,5x
1017,TARSONS,INE144Z01023,5x,5x,5x
1018,GOCOLORS,INE0BJS01011,5x,5x,5x
1019,HITECH,INE106T01025,5x,5x,5x
1020,STARHEALTH,INE575P01011,5x,5x,5x
1021,TEGA,INE011K01018,5x,5x,5x
1022,MAHKTECH,INF769K01HS7,5x,5x,5x
1023,RATEGAIN,INE0CLI01024,5x,5x,5x
1024,SHRIRAMPPS,INE217L01019,5x,5x,5x
1025,MAPMYINDIA,INE0BV301023,5x,5x,5x
1026,METROBRAND,INE317I01021,5x,5x,5x
1027,MEDPLUS,INE804L01022,5x,5x,5x
1028,DATAPATTNS,INE0IX101010,5x,5x,5x
1029,SUPRIYA,INE07RO01027,5x,5x,5x
1030,MONQ50,INF247L01AU3,5x,5x,5x
1031,MIDQ50ADD,INF740KA1QL0,5x,5x,5x
1032,NIFTY50ADD,INF740KA1CL0,5x,5x,5x
1033,CMSINFO,INE925R01014,5x,5x,5x
1034,AUTOIETF,INF109KC10V2,5x,5x,5x
1035,AGSTRA,INE583L01014,5x,5x,5x
1036,SILVERIETF,INF109KC1Y56,5x,5x,5x
1037,MAKEINDIA,INF769K01IB1,5x,5x,5x
1038,AWL,INE699H01024,5x,5x,5x
1039,MANYAVAR,INE825V01034,5x,5x,5x
1040,MOMOMENTUM,INF247L01BK2,5x,5x,5x
1041,SILVER,INF209KB19F6,5x,5x,5x
1042,TECH,INF209KB11D8,5x,5x,5x
1043,HEALTHY,INF209KB10C2,5x,5x,5x
1044,BSLNIFTY,INF209KB19D1,5x,5x,5x
1045,GSEC5IETF,INF109KC14A8,5x,5x,5x
1046,MIDCAPETF,INF769K01IC9,5x,5x,5x
1047,GATEWAY,INE079J01017,5x,5x,5x
1048,GMRP&UI,INE0CU601026,5x,5x,5x
1049,MSUMI,INE0FS801015,5x,5x,5x
1050,MOLOWVOL,INF247L01BL0,5x,5x,5x
1051,HARIOMPIPE,INE00EV01017,5x,5x,5x
1052,CAMPUS,INE278Y01022,5x,5x,5x
1053,RAINBOW,INE961O01016,5x,5x,5x
1054,SILVERTUC,INE625X01018,5x,5x,5x
1055,LICI,INE0J1Y01017,5x,5x,5x
1056,PRUDENT,INE00F201020,5x,5x,5x
1057,VENUSPIPES,INE0JA001018,5x,5x,5x
1058,DELHIVERY,INE148O01028,5x,5x,5x
1059,PARADEEP,INE088F01024,5x,5x,5x
1060,AETHER,INE0BWX01014,5x,5x,5x
1061,MOHEALTH,INF247L01BB1,5x,5x,5x
1062,MOM30IETF,INF109KC17C7,5x,5x,5x
1063,HDFCNIF100,INF179KC1HR4,5x,5x,5x
1064,HDFCNEXT50,INF179KC1HS2,5x,5x,5x
1065,INFRAIETF,INF109KC16E5,5x,5x,5x
1066,SILVERADD,INF740KA1RE3,5x,5x,5x
1067,SYRMA,INE0DYJ01015,5x,5x,5x
1068,NIFTYQLITY,INF209KB15K4,5x,5x,5x
1069,MOMENTUM,INF209KB14K7,5x,5x,5x
1070,MOVALUE,INF247L01BE5,5x,5x,5x
1071,MOQUALITY,INF247L01BH8,5x,5x,5x
1072,DREAMFOLKS,INE0JS101016,5x,5x,5x
1073,HDFCSILVER,INF179KC1DI2,5x,5x,5x
1074,DBOL,INE0I3401014,5x,5x,5x
1075,TMB,INE668A01016,5x,5x,5x
1076,HARSHA,INE0JUS01029,5x,5x,5x
1077,HDFCQUAL,INF179KC1DL6,5x,5x,5x
1078,HDFCGROWTH,INF179KC1DJ0,5x,5x,5x
1079,HDFCVALUE,INF179KC1DK8,5x,5x,5x
1080,HDFCLOWVOL,INF179KC1HU8,5x,5x,5x
1081,HDFCMOMENT,INF179KC1HV6,5x,5x,5x
1082,PPLPHARMA,INE0DK501011,5x,5x,5x
1083,TRACXN,INE0HMF01019,5x,5x,5x
