EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,SM_FREEZE_QTY,
NSE,I,28,NA,INDEX,28,NIFTY FMCG,NIFTY FMCG,NIFTY FMCG,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,29,NA,INDEX,29,NIFTYIT,NIFTYIT,Nifty IT,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,30,NA,INDEX,30,NIFTY MEDIA,NIFTY MEDIA,NIFTY Media,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,31,NA,INDEX,31,NIFTY METAL,NIFTY METAL,NIFTY Metal,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,32,NA,INDEX,32,NIFTY PHARMA,NIFTY PHARMA,NIFTY Pharma,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,33,NA,INDEX,33,NIFTY PSU BANK,NIFTY PSU BANK,NIFTY PSU Bank,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,34,NA,INDEX,34,NIFTY REALTY,NIFTY REALTY,NIFTY Realty,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,35,NA,INDEX,35,NIFTY100 LIQ 15,NIFTY100 LIQ 15,Nifty100 Liquid 15,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,36,NA,INDEX,36,BSEMOI,BSEMOI,BSE Momentum Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,37,NA,INDEX,37,NIFTY MID100 FREE,NIFTY MID100 FREE,NIFTY Midcap 100,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,38,NA,INDEX,38,NIFTYNXT50,NIFTYNXT50,Nifty Next 50,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,39,NA,INDEX,39,NIFTY COMMODITIES,NIFTY COMMODITIES,Nifty Commodities,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,40,NA,INDEX,40,NIFTY CONSUMPTION,NIFTY CONSUMPTION,NIFTY Consumption,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,41,NA,INDEX,41,NIFTYPSE,NIFTYPSE,Nifty PSE,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,42,NA,INDEX,42,NIFTY ENERGY,NIFTY ENERGY,NIFTY Energy,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,43,NA,INDEX,43,NIFTYINFRA,NIFTYINFRA,NIFTY Infra,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,44,NA,INDEX,44,NIFTY MNC,NIFTY MNC,NIFTY MNC,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,45,NA,INDEX,45,NIFTYCPSE,NIFTYCPSE,Nifty CPSE,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,46,NA,INDEX,46,NIFTY SERV SECTOR,NIFTY SERV SECTOR,NIFTY Services Sector,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,51,NA,INDEX,51,SENSEX,SENSEX,Sensex,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
